#Index,Spectrum No,R,    Theta,            Q,            Phi,        Monitor
93,94, 2.74041166675,61.40280663897,8.758901024887,0.1568812646427,no
94,95, 2.677836796106,62.02396552354,8.83873089485,0.1768031140861,no
95,96, 2.659424702591,62.6532556661,8.919340932402,-0.1764468827336,no
96,97, 2.649634699543,63.28174973773,8.999580521921,-0.1133803019684,no
97,98, 2.640554690718,63.90997735456,9.079515547013,0.1242442710873,no
98,99, 2.631157141446,64.54161908757,9.159609855985,-0.0645750578328,no
99,100, 2.624097302804,65.17881135941,9.240126006397,-0.1107532061041,no
100,101,2.649072905232,65.81195596824,9.319847710969,-0.05301596009541,no
101,102,2.659706085704,66.43722226654,9.398298208011,-0.2127530146664,no
102,103,2.655772784691,67.06561221308,9.476858700409,0.1603203740419,no
103,104,2.654942242232,67.69409375277,9.555145599837,-0.09172355004732,no
104,105,2.65861688947,68.32528796007,9.633481116835,-0.006639141853407,no
105,106,2.657197232897,68.95508042769,9.711351360462,-0.2160059924072,no
106,107,2.659257161788,69.58701379154,9.789191475631,-0.2140783414068,no
107,108,2.65342946554,70.21568202621,9.866334004087,-0.1422860506165,no
108,109,2.65387279785,70.84057798069,9.942719359915,-0.03989439073114,no
109,110,2.654689773808,71.46967981158,10.01932015744,-0.1292540444255,no
110,111,2.656311265715,72.1010862078,10.09589792268,0.2465181848516,no
111,112,2.654810483202,72.73161370414,10.1720632162,-0.1418033111265,no
112,113,2.653248095954,73.36075427444,10.2477540198,0.182160137565,no
113,114,2.652179057474,73.98519919524,10.32257445339,-0.06412199240025,no
114,115,2.65746619628,74.61675689531,10.39793534024,-0.387144766838,no
115,116,2.654997738407,75.25066518082,10.4732591036,-0.3368095864645,no
116,117,2.658855091699,75.88215669228,10.54797702847,-0.2244807461606,no
117,118,2.652790891858,76.50944121974,10.62188005273,-0.5104976758967,no
118,119,2.6537551041,77.13499580666,10.69526229204,0.06967563854371,no
119,120,2.655123560744,77.76359112824,10.76868017652,0.06618289583781,no
120,121,2.655460391071,78.39336413429,10.84191065825,-0.01464067948097,no
121,122,2.658724267266,79.025795621,10.91512072356,0.1203254699762,no
122,123,2.654259451703,79.65625770739,10.98777189791,-0.3939015533146,no
123,124,2.652769317155,80.28146271919,11.05948882957,-0.1892540102589,no
124,125,2.652738368778,80.90562442523,11.13075769849,-0.2941131097792,no
125,126,2.656485018704,81.53346028749,11.20211294207,0.0751481582081,no
126,127,2.79785365552,82.1556755336,11.2724976276,-0.2607114269958,no
127,128,2.910890536649,82.58311952863,11.32065742906,0.03861156423124,no
128,129,2.569252388075,83.45724898715,11.41865379604,0.1379418944822,no
129,130,2.651099258796,84.06744114438,11.4866673844,-0.06281812844793,no
130,131,2.651684431887,84.68687320111,11.55537772806,-0.09284075062895,no
131,132,2.654762415091,85.31390210611,11.62458685619,-0.03660868835905,no
132,133,2.659482948728,85.94572162977,11.69397269705,0.3289921528381,no
133,134,2.668408936241,86.58643051229,11.76397170953,-0.7171419732522,no
134,135,2.655021105559,87.21279851899,11.83204845336,-0.4518068849855,no
135,136,2.648189648055,87.81478778273,11.89714247285,-0.1261983211227,no
136,137,2.647991700796,88.41115400195,11.96130472291,0.3151676718968,no
137,138,2.647584341001,89.00739323348,12.02512944891,0.2328714903254,no
138,139,2.64713397529,89.60380928963,12.08864740299,0.08900989510866,no
139,140,2.647879261523,90.20033414662,12.15184938563,0.2999225010921,no
140,141,2.685709732496,90.90410745474,12.22599081126,0.3730732003446,no
141,142,2.653130784117,91.59111149229,12.29792084204,0.2799982266696,no
142,143,2.646796196699,92.24445720341,12.36591678193,0.09651059135218,no
143,144,2.647676358584,92.87810445272,12.43147867169,0.03217246283804,no
144,145,2.64697072246,93.50392786184,12.49585795554,-0.1352062944625,no
145,146,2.652352394889,94.12791164214,12.55967693454,0.3441156513984,no
146,147,2.663407141803,94.76290884667,12.62423999307,0.2847553256904,no
147,148,2.658624370315,95.40366052107,12.6889951909,-0.3125280965566,no
148,149,2.654159800533,96.03945673213,12.75285744402,0.4618892538583,no
149,150,2.65275971448,96.66889437923,12.81569430233,0.6446767026521,no
150,151,2.652295611162,97.29496542495,12.87781150165,-0.05263175961778,no
151,152,2.655864375104,97.9220229075,12.9396412632,0.4238099028331,no
152,153,2.659173752087,98.55873921989,13.00202694317,-0.06316464170991,no
153,154,2.658000015129,99.19507668235,13.06397444406,0.02536892952421,no
