Index;Spectrum No;Detector ID(s);R;Theta;Phi;Monitor
117;118;4710;4.021999835968;7.289999961853;0;no
118;119;4711;4.021999835968;7.710000038147;0;no
119;120;4712;4.021999835968;8.140000343323;0;no
120;121;4713;4.021999835968;8.569999694824;0;no
121;122;4714;4.021999835968;9;0;no
122;123;4715;4.021999835968;9.430000305176;0;no
123;124;4716;4.021999835968;9.859999656677;0;no
124;125;4801;4.021999835968;6.429999828339;45;no
125;126;4802;4.021999835968;6.860000133514;45;no
126;127;4803;4.021999835968;7.289999961853;45;no
127;128;4804;4.021999835968;7.710000038147;45;no
128;129;4805;4.021999835968;8.140000343323;45;no
129;130;4806;4.021999835968;8.569999694824;45;no
130;131;4807;4.021999835968;9;45;no
131;132;4808;4.021999835968;9.430000305176;45;no
132;133;4809;4.021999835968;9.859999656677;45;no
133;134;4810;4.021999835968;10.28999996185;45;no
134;135;4811;4.021999835968;10.71000003815;45;no
135;136;4812;4.021999835968;11.14000034332;45;no
136;137;4813;4.021999835968;11.56999969482;45;no
137;138;4814;4.021999835968;12;45;no
138;139;4815;4.021999835968;12.43000030518;45;no
139;140;4816;4.021999835968;12.85999965668;45;no
140;141;2101;4.021999835968;12.43000030518;-90;no
141;142;2102;4.021999835968;12.85999965668;-90;no
142;143;2103;4.021999835968;13.28999996185;-90;no
143;144;2104;4.021999835968;13.71000003815;-90;no
144;145;2105;4.021999835968;14.14000034332;-90;no
145;146;2106;4.021999835968;14.56999969482;-90;no
146;147;2107;4.021999835968;15;-90;no
147;148;2108;4.021999835968;15.43000030518;-90;no
148;149;2109;4.021999835968;15.85999965668;-90;no
149;150;2110;4.021999835968;16.29000091553;-90;no
150;151;2111;4.021999835968;16.70999908447;-90;no
151;152;2112;4.021999835968;17.13999938965;-90;no
152;153;2113;4.021999835968;17.56999969482;-90;no
153;154;2114;4.021999835968;18;-90;no
154;155;2115;4.021999835968;18.43000030518;-90;no
155;156;2116;4.021999835968;18.86000061035;-90;no
156;157;2117;4.021999835968;19.29000091553;-90;no
157;158;2118;4.021999835968;19.70999908447;-90;no
158;159;2119;4.021999835968;20.13999938965;-90;no
159;160;2120;4.021999835968;20.56999969482;-90;no
160;161;2121;4.021999835968;21;-90;no
161;162;2122;4.021999835968;21.43000030518;-90;no
162;163;2123;4.021999835968;21.86000061035;-90;no
163;164;2124;4.021999835968;22.29000091553;-90;no
164;165;2125;4.021999835968;22.70999908447;-90;no
165;166;2126;4.021999835968;23.13999938965;-90;no
166;167;2127;4.021999835968;23.56999969482;-90;no
167;168;2128;4.021999835968;24;-90;no
168;169;2129;4.021999835968;24.43000030518;-90;no
169;170;2130;4.021999835968;24.86000061035;-90;no
170;171;2131;4.021999835968;25.29000091553;-90;no
171;172;2132;4.021999835968;25.70999908447;-90;no
172;173;2133;4.021999835968;26.13999938965;-90;no
173;174;2134;4.021999835968;26.56999969482;-90;no
174;175;2135;4.021999835968;27;-90;no
175;176;2136;4.021999835968;27.43000030518;-90;no
176;177;2137;4.021999835968;27.86000061035;-90;no
177;178;2138;4.021999835968;28.29000091553;-90;no
178;179;2139;4.021999835968;28.70999908447;-90;no
179;180;2140;4.021999835968;29.13999938965;-90;no
